second,Volt,Ampere,Volt
-830.0E-06,+80.4020E-03,+4.2651E-03,-311.8720E-03
-820.0E-06,+80.4020E-03,+4.2651E-03,-311.8720E-03
-810.0E-06,+85.9330E-03,+8.0086E-03,-311.8720E-03
-800.0E-06,+160.8040E-03,+4.2651E-03,-349.9101E-03
-790.0E-06,+160.8040E-03,+4.2651E-03,-422.9731E-03
-780.0E-06,+160.8040E-03,+4.2651E-03,-311.8720E-03
-770.0E-06,+83.3499E-03,+4.2651E-03,-311.8720E-03
-760.0E-06,+143.0056E-03,+7.3953E-03,-311.8720E-03
-750.0E-06,+160.8040E-03,+4.2651E-03,-311.8720E-03
-740.0E-06,+80.4020E-03,+7.2296E-03,-311.8720E-03
-730.0E-06,+160.8040E-03,+4.2651E-03,-311.8720E-03
-720.0E-06,+100.7836E-03,+6.2470E-03,-362.8259E-03
-710.0E-06,+119.6762E-03,+4.2651E-03,-410.0574E-03
-700.0E-06,+160.8040E-03,+5.1915E-03,-311.8720E-03
-690.0E-06,+80.4020E-03,+4.2651E-03,-311.8720E-03
-680.0E-06,+137.8393E-03,+5.4133E-03,-311.8720E-03
-670.0E-06,+117.0930E-03,+4.2651E-03,-403.5995E-03
-660.0E-06,+144.8593E-03,+4.2651E-03,-311.8720E-03
-650.0E-06,+160.8040E-03,+4.2651E-03,-311.8720E-03
-640.0E-06,+160.8040E-03,+2.9877E-03,-311.8720E-03
-630.0E-06,+160.8040E-03,+6.5798E-03,-311.8720E-03
-620.0E-06,+160.8040E-03,+4.2651E-03,-345.2759E-03
-610.0E-06,+87.7867E-03,+4.6343E-03,-494.4152E-03
-600.0E-06,+80.4020E-03,+5.6716E-03,-311.8720E-03
-590.0E-06,+80.4020E-03,+4.2651E-03,-311.8720E-03
-580.0E-06,+150.0256E-03,+3.7262E-03,-311.8720E-03
-570.0E-06,+160.8040E-03,+4.2651E-03,-311.8720E-03
-560.0E-06,+160.8040E-03,+4.2651E-03,-311.8720E-03
-550.0E-06,+160.8040E-03,+4.2651E-03,-311.8720E-03
-540.0E-06,+160.8040E-03,+4.2651E-03,-311.8720E-03
-530.0E-06,+160.8040E-03,+4.2651E-03,-311.8720E-03
-520.0E-06,+127.5067E-03,+4.2651E-03,-311.8720E-03
-510.0E-06,+80.4020E-03,+4.2651E-03,-377.7679E-03
-500.0E-06,+86.0141E-03,+4.2651E-03,-311.8720E-03
-490.0E-06,+145.6698E-03,+4.2651E-03,-311.8720E-03
-480.0E-06,+160.8040E-03,+4.2651E-03,-311.8720E-03
-470.0E-06,+160.8040E-03,+4.2651E-03,-311.8720E-03
-460.0E-06,+157.7751E-03,+4.2651E-03,-311.8720E-03
-450.0E-06,+160.8040E-03,+1.1308E-03,-468.5836E-03
-440.0E-06,+118.8657E-03,+4.2651E-03,-311.8720E-03
-430.0E-06,+139.6120E-03,+4.2651E-03,-311.8720E-03
-420.0E-06,+160.8040E-03,+4.2651E-03,-311.8720E-03
-410.0E-06,+160.8040E-03,+4.2651E-03,-311.8720E-03
-400.0E-06,+121.4488E-03,+4.2651E-03,-410.2600E-03
-390.0E-06,+142.1951E-03,+4.2651E-03,-311.8720E-03
-380.0E-06,+160.8040E-03,+4.3719E-03,-311.8720E-03
-370.0E-06,+80.4020E-03,+4.2651E-03,-311.8720E-03
-360.0E-06,+117.1741E-03,+4.2651E-03,-311.8720E-03
-350.0E-06,+144.7783E-03,+4.2651E-03,-311.8720E-03
-340.0E-06,+85.1225E-03,+4.2651E-03,-311.8720E-03
-330.0E-06,+105.8688E-03,+4.2651E-03,-449.2099E-03
-320.0E-06,+114.5909E-03,+4.2651E-03,-311.8720E-03
-310.0E-06,+147.3614E-03,+917.1E-06,-479.2705E-03
-300.0E-06,+87.7057E-03,+4.2651E-03,-311.8720E-03
-290.0E-06,+132.7540E-03,+4.2651E-03,-311.8720E-03
-280.0E-06,+112.0077E-03,+4.2651E-03,-311.8720E-03
-270.0E-06,+160.8040E-03,+1.3309E-03,-311.8720E-03
-260.0E-06,+150.9172E-03,+4.2651E-03,-311.8720E-03
-250.0E-06,+160.8040E-03,+4.2651E-03,-311.8720E-03
-240.0E-06,+131.7814E-03,+2.8140E-03,-311.8720E-03
-230.0E-06,+80.4020E-03,+4.2651E-03,-311.8720E-03
-220.0E-06,+160.8040E-03,+4.2651E-03,-311.8720E-03
-210.0E-06,+113.6183E-03,+4.2651E-03,-429.8363E-03
-200.0E-06,+80.4020E-03,+6.9632E-03,+3.0391149E+00
-190.0E-06,+86.0951E-03,+4.2651E-03,+3.1052135E+00
-180.0E-06,+160.8040E-03,+4.2651E-03,-311.8720E-03
-170.0E-06,+160.8040E-03,+4.2651E-03,-311.8720E-03
-160.0E-06,+80.4020E-03,+4.2651E-03,-311.8720E-03
-150.0E-06,+80.4020E-03,+4.2651E-03,-512.8770E-03
-140.0E-06,+160.8040E-03,+20.3455E-03,-468.7862E-03
-130.0E-06,+160.8040E-03,+36.4259E-03,-311.8720E-03
-120.0E-06,+160.8040E-03,+52.5063E-03,-459.6942E-03
-110.0E-06,+160.8040E-03,+68.5867E-03,-311.8720E-03
-100.0E-06,+220.9866E-03,+84.6671E-03,+3.0546648E+00
-90.0E-06,+200.2403E-03,+96.7274E-03,+3.1052135E+00
-80.0E-06,+241.2060E-03,+111.8733E-03,-358.5969E-03
-70.0E-06,+241.2060E-03,+128.8882E-03,-311.8720E-03
-60.0E-06,+264.0086E-03,+140.9485E-03,-311.8720E-03
-50.0E-06,+358.4611E-03,+153.0088E-03,-311.8720E-03
-40.0E-06,+337.7148E-03,+169.0892E-03,-311.8720E-03
-30.0E-06,+402.0100E-03,+177.1294E-03,-311.8720E-03
-20.0E-06,+402.0100E-03,+171.8400E-03,-449.4126E-03
-10.0E-06,+482.4121E-03,+173.1093E-03,-311.8720E-03
+0.0E+00,-654.5200E-03,+175.7770E-03,+2.9380176E+00
+10.0E-06,+489.6347E-03,+185.1696E-03,+3.1052135E+00
+20.0E-06,+562.8141E-03,+194.6082E-03,-381.7943E-03
+30.0E-06,+562.8141E-03,+190.7740E-03,-311.8720E-03
+40.0E-06,+643.2161E-03,+188.6427E-03,-311.8720E-03
+50.0E-06,+794.2143E-03,+185.6599E-03,-311.8720E-03
+60.0E-06,+693.0660E-03,+199.7224E-03,-436.4968E-03
+70.0E-06,+723.6181E-03,+197.2299E-03,-311.8720E-03
+80.0E-06,+731.9754E-03,+193.6277E-03,-311.8720E-03
+90.0E-06,+884.4221E-03,+193.2098E-03,-311.8720E-03
+100.0E-06,+662.2198E-03,+190.8465E-03,+2.9870466E+00
+110.0E-06,+830.5406E-03,+201.2500E-03,+3.0389123E+00
+120.0E-06,+890.1963E-03,+201.2500E-03,-311.8720E-03
+130.0E-06,+964.8241E-03,+197.9785E-03,-349.3022E-03
+140.0E-06,+1.0005425E+00,+197.2299E-03,-311.8720E-03
+150.0E-06,+949.4768E-03,+193.2098E-03,-311.8720E-03
+160.0E-06,+1.0452261E+00,+205.2701E-03,-311.8720E-03
+170.0E-06,+1.1256281E+00,+204.3923E-03,-311.8720E-03
+180.0E-06,+1.1256281E+00,+201.2500E-03,-311.8720E-03
+190.0E-06,+1.1846760E+00,+197.2299E-03,-311.8720E-03
+200.0E-06,+1.1304911E+00,+197.2299E-03,+3.1052135E+00
+210.0E-06,+1.2060301E+00,+205.2701E-03,+2.9545545E+00
+220.0E-06,+1.2864321E+00,+203.2942E-03,-311.8720E-03
+230.0E-06,+1.3052032E+00,+201.2500E-03,-465.9495E-03
+240.0E-06,+1.3668342E+00,+201.1512E-03,-311.8720E-03
